"(n,q)",Connected,K_1 nonzero,Tor(K_0) cyclic,Det(I-A)<0,Full Shift,Cuntz polygon,Cuntz algebra
"(∞,q)",m−O(1/n),m(√ (1−ε) + o(1))ⁿ,0.84694,0.50000,0.42347,0.51451,0.43576
"(50,1/4)",99989,1,84610,49966,42225,50739,43581
,"[0.9998, 1.0000]","[-0.0000, 0.0000]","[0.8432, 0.8490]","[0.4956, 0.5037]","[0.4182, 0.4263]","[0.5033, 0.5115]","[0.4318, 0.4398]"
,,,,,,,
"(100,1/4)",100000,0,84636,49831,42260,50764,43582
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.8434, 0.8493]","[0.4942, 0.5024]","[0.4186, 0.4266]","[0.5036, 0.5117]","[0.4318, 0.4399]"
,,,,,,,
"(50,1/3)",100000,0,84825,50036,42381,50695,43503
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.8453, 0.8512]","[0.4963, 0.5044]","[0.4198, 0.4278]","[0.5029, 0.5110]","[0.4310, 0.4391]"
,,,,,,,
"(100,1/3)",100000,0,84736,50044,42410,50736,43635
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.8444, 0.8503]","[0.4964, 0.5045]","[0.4201, 0.4281]","[0.5033, 0.5114]","[0.4323, 0.4404]"
,,,,,,,
"(50,1/2)",100000,0,84377,49887,42186,50880,43518
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.8408, 0.8467]","[0.4948, 0.5029]","[0.4178, 0.4259]","[0.5047, 0.5129]","[0.4311, 0.4392]"
,,,,,,,
"(100,1/2)",100000,0,84525,49963,42190,50640,43481
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.8423, 0.8482]","[0.4956, 0.5037]","[0.4179, 0.4259]","[0.5023, 0.5105]","[0.4308, 0.4388]"
,,,,,,,
