"(n,q)",Connected,Rank(K_1),Tor(K_0),Det(I-A)<0,Full Shift,Cuntz polygon,Cuntz algebra
"(∞,q)",m−O(1/n),o(1),0.79352,,,0.60793,0.48240
"(50,1/4)",99999,1,79526,46138,36771,59643,48634
,"[1.0000, 1.0000]","[-0.0000, 0.0000]","[0.7920, 0.7985]","[0.4573, 0.4654]","[0.3638, 0.3716]","[0.5924, 0.6004]","[0.4823, 0.4904]"
,,,,,,,
"(75,1/4)",100000,0,79296,47678,37797,59246,48315
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.7897, 0.7963]","[0.4727, 0.4808]","[0.3740, 0.3819]","[0.5885, 0.5965]","[0.4791, 0.4872]"
,,,,,,,
"(100,1/4)",100000,0,79322,54237,42983,59275,48218
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.7899, 0.7965]","[0.5383, 0.5464]","[0.4258, 0.4339]","[0.5887, 0.5968]","[0.4781, 0.4863]"
,,,,,,,
"(50,1/3)",100000,0,79286,55144,43670,59335,48317
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.7896, 0.7962]","[0.5474, 0.5555]","[0.4327, 0.4407]","[0.5893, 0.5974]","[0.4791, 0.4872]"
,,,,,,,
"(75,1/3)",100000,0,79400,45625,36269,59195,48253
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.7907, 0.7973]","[0.4522, 0.4603]","[0.3588, 0.3666]","[0.5879, 0.5960]","[0.4785, 0.4866]"
,,,,,,,
"(100,1/3)",100000,0,79371,46400,36794,59121,48224
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.7904, 0.7970]","[0.4599, 0.4681]","[0.3640, 0.3719]","[0.5872, 0.5952]","[0.4782, 0.4863]"
,,,,,,,
"(50,1/2)",100000,0,79379,56708,45005,59431,48330
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.7905, 0.7971]","[0.5630, 0.5711]","[0.4460, 0.4541]","[0.5903, 0.5983]","[0.4792, 0.4874]"
,,,,,,,
"(75,1/2)",100000,0,79325,50912,40336,59051,48073
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.7900, 0.7965]","[0.5050, 0.5132]","[0.3994, 0.4074]","[0.5865, 0.5945]","[0.4767, 0.4848]"
,,,,,,,
"(100,1/2)",100000,0,79416,45762,36274,59317,48281
,"[1.0000, 1.0000]","[0.0000, 0.0000]","[0.7909, 0.7975]","[0.4536, 0.4617]","[0.3588, 0.3667]","[0.5892, 0.5972]","[0.4787, 0.4869]"
